,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,From,To
0,18361467.337243926,-2.803959523224169,1.5995419256154089,-1.7529765730556714,0.0796060284062217,0.865715558917661,P01833,PIGR
1,28700158.916915037,-3.085503141797718,1.1614812667656216,-2.656524242005145,0.007895077434818005,0.22895724560972214,P02788,LTF
2,27229822.038159747,3.7931801818561457,1.0612687690062577,3.574193731723561,0.0003513087529925248,0.03056386151034966,P04083,ANXA1
3,32332550.92353925,-1.8791982287557998,0.8221182729271864,-2.2858003411903693,0.022265941723027607,0.48428423247585045,P06733,ENO1
4,22741447.874492645,-3.8419370953865855,2.1474319699912607,-1.7890844269223676,0.07360121978164033,0.865715558917661,P23528,CFL1
5,20153214.696784787,-5.997765375383225,2.249924017495619,-2.665763523009684,0.007681370364862774,0.22895724560972214,P29508,SERPINB3
6,2910192.6022303426,-2.9834660321171236,1.6439501637836098,-1.8148153744822595,0.06955228689159265,0.865715558917661,P80723,BASP1
7,49268467.26860282,-4.214940696880423,2.183139618073839,-1.9306784879838428,0.053522824827902,0.865715558917661,Q01469,FABP5
