Protein IDs,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,-log10.padj
P00738,12938115.702446263,-6.082011227851549,2.556942661333255,-2.3786263649260846,0.017377279720902108,0.3119254795972306,Down-regulated,1.7600182080177509
P02675,16141193.752565404,-7.61608004488754,2.7674661622458654,-2.7520047575602185,0.00592316603928657,0.25469613968932253,Down-regulated,2.22744609296513
P02788,28700158.916915037,-3.374254274941563,1.4332543378116722,-2.3542606402248585,0.018559592410290596,0.3119254795972306,Down-regulated,1.7314315656120585
P04083,27229822.038159747,3.7807581464187363,1.3108768301759521,2.884144459179483,0.0039247866642284045,0.25469613968932253,Up-regulated,2.4061839447955204
P06733,32332550.92353925,-2.408047323971593,0.9949984274879337,-2.4201518891353175,0.015514025446975107,0.3119254795972306,Down-regulated,1.8092755005370698
P29508,20153214.696784787,-6.189251047502498,2.814535851185532,-2.199030808186535,0.027875731747676318,0.3424732757571662,Down-regulated,1.554773723412596
P31146,3679593.8146550716,-5.169582894456043,2.4907542947732755,-2.0755089754554095,0.037939387889227155,0.4078484198091919,Down-regulated,1.4209096802600985
P80723,2910192.6022303426,-4.608711944553979,2.0085977850265695,-2.294492196949732,0.021762242762597483,0.3119254795972306,Down-regulated,1.662296349358574
