,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,-log10.padj,Rank,Gene
0,61316838.78696793,-2.601443950825026,3.452643291581007,-0.7534644419156875,0.451170871057938,0.79208011202037,Not significant,0.3456589474714577,-0.899212377948169,IGKV2-28
1,43171122.4074354,-0.3260123671318646,2.206109943281996,-0.1477770263103302,0.8825187405992206,0.9607166036902908,Not significant,0.054276063444489,-0.017694667922137124,H2BC13
2,4718985.708857942,-1.2400022587015684,1.6791457231635851,-0.7384720942297666,0.4602276187538994,0.79208011202037,Not significant,0.3370273224068327,-0.41791464102861425,MYCBP2
3,11861225.742447924,-2.168068260044296,1.932332879241156,-1.1219952231500174,0.2618644709484777,0.613886071863554,Not significant,0.5819234214591926,-1.2616496998420554,LDHA
4,4981944.692416428,-5.0019598843317095,2.772029819751319,-1.8044394214996,0.0711624477842482,0.613886071863554,Not significant,1.147749121845721,-5.740995064749244,CP
5,12938115.702446263,-6.082011227851549,2.556942661333255,-2.3786263649260846,0.0173772797209021,0.3119254795972306,Down-regulated,1.7600182080177509,-10.704450502387123,HP
6,9845654.814197546,-3.053620965553357,2.6209692589497204,-1.1650731709753093,0.2439893757247455,0.613886071863554,Not significant,0.6126290841718165,-1.870737015534811,SERPINA1
7,14473086.601803228,-3.749564406136892,2.8509539461854576,-1.3151964138718424,0.1884439000814282,0.613886071863554,Not significant,0.7248179160750923,-2.717751459045483,A2M
8,14176020.871705612,-3.955194004932221,2.4311145753549552,-1.6269056362161547,0.1037571407563993,0.613886071863554,Not significant,0.9839820046459076,-3.8918397257366824,C3
9,17953845.91820275,-2.6419877498699424,2.376880965843975,-1.1115355744926143,0.2663378862433196,0.613886071863554,Not significant,0.5745670513001025,-1.5179991110137658,CST4
10,25701320.91678664,-3.870756252657951,3.367820253268597,-1.149335760690089,0.2504175577020492,0.613886071863554,Not significant,0.6013352244001356,-2.3276220797902973,IGKV3-20
11,33831744.63748169,-2.346498909165156,2.9264133174192306,-0.801834414570839,0.4226487484374609,0.79208011202037,Not significant,0.3740204127347261,-0.8776384904875362,IGLV1-47
12,18361467.33724393,-3.2974440514595496,1.9819559750929343,-1.6637322387067308,0.0961659506705885,0.613886071863554,Not significant,1.016978670721535,-3.3534302682319654,PIGR
13,7383917.320609732,-3.291487654291769,2.579380296202799,-1.2760769162799643,0.201928330729801,0.613886071863554,Not significant,0.694802744867863,-2.2869346569006046,IGHG1
14,29696886.702261817,-2.4554444586659776,2.423186152745,-1.013312351543622,0.3109109896417203,0.6684586277296988,Not significant,0.5073639268586859,-1.2458039427321708,IGHG2
15,2276240.571210897,-2.187189484831282,3.5068190867119675,-0.6236961276727894,0.5328271666491013,0.8232318213058062,Not significant,0.2734136403974071,-0.5980074392866502,IGHG3
16,23694683.025613472,-1.84701661442234,1.460732407939728,-1.264445564692743,0.2060701472798092,0.613886071863554,Not significant,0.6859849185104182,-1.2670255417318974,IGHM
17,25206685.40405392,-2.5751330256638867,2.1900890787844167,-1.1758120026301324,0.2396700090039306,0.613886071863554,Not significant,0.6203863078061445,-1.597577269901284,IGHA1
18,6780661.108447263,-3.419672542151823,2.5845933445631903,-1.3230988733083522,0.1858024993605362,0.613886071863554,Not significant,0.7309484483015346,-2.499604338385239,FGA
19,16141193.752565404,-7.61608004488754,2.7674661622458654,-2.7520047575602185,0.0059231660392865,0.2546961396893225,Down-regulated,2.22744609296513,-16.96440773969444,FGB
20,47735986.965526335,-2.714511166797021,2.02063217753208,-1.343396980895562,0.1791434639748833,0.613886071863554,Not significant,0.7467990323844089,-2.027194312760688,TF
21,28700158.91691504,-3.374254274941563,1.4332543378116722,-2.3542606402248585,0.0185595924102905,0.3119254795972306,Down-regulated,1.7314315656120585,-5.842290362035252,LTF
22,17692684.80554267,-1.923166749269572,2.425709948773464,-0.7928263435791248,0.4278790058817067,0.79208011202037,Not significant,0.3686790218904638,-0.7090312360529687,HPX
23,2037182.853242725,-0.2929991236037114,3.533840905701448,-0.0829123696912871,0.9339212183176024,0.9708661765898352,Not significant,0.0296897574883152,-0.008699072924083081,VTN
24,2838297.8582751444,-0.7650477523240969,3.5338408388413782,-0.2164918532592795,0.8286043747564721,0.9607166036902908,Not significant,0.081652778100747,-0.06246827435699474,ALDOA
25,27229822.038159747,3.780758146418736,1.310876830175952,2.884144459179483,0.0039247866642284,0.2546961396893225,Up-regulated,2.4061839447955204,9.097199551067634,ANXA1
26,8999790.730030503,1.1725729585748683,0.8086766919269318,1.4499898046781057,0.1470613623193253,0.613886071863554,Not significant,0.8325014152102923,0.9761686474508974,KRT6B
27,6490372.113264276,-2.829549784780458,3.5338408370229715,-0.8007009696464337,0.4233047810820404,0.79208011202037,Not significant,0.3733468262913534,-1.0564034319811662,GAPDH
28,7812869.430658,-1.5671426303508635,3.5338408125616043,-0.443467239605192,,,Not significant,,,H2AC18
29,25823817.4985005,0.4305808015778554,1.3447632532875886,0.3201907849022494,0.7488237083651959,0.9470417488148064,Not significant,0.1256204139371768,0.05408973852761158,S100A8
30,9845584.261338636,-2.839201732367779,1.9463888743499789,-1.458702199639302,0.1446470904286752,0.613886071863554,Not significant,0.839690297746933,-2.3840501480155085,MPO
31,114578748.94210333,-0.0465570098775221,0.6664985540730382,-0.069853129602469,0.944310559108724,0.9708661765898352,Not significant,0.0248851540848715,-0.0011585783645330218,S100A9
32,32332550.92353925,-2.408047323971593,0.9949984274879335,-2.420151889135317,0.0155140254469751,0.3119254795972306,Down-regulated,1.8092755005370695,-4.356821027395655,ENO1
