,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance,-log10.padj,Rank,Gene
0,40219798.08010064,-1.429701084871782,0.647994370353894,-2.206348002824421,0.027359642753942,0.0970023697639763,Not significant,1.0132176558074986,1.4485983817192245,IGKV2-28
1,29351458.13724645,1.953247706058922,0.4760043005255565,4.103424494069361,4.070793478158946e-05,0.0007938047282409,Significant,3.100286318577183,6.0556271398867425,H2BC13
2,4057267.499588624,-0.7856980154964689,0.5146950028459307,-1.526531268327974,0.1268776094139271,0.2413769154703978,Not significant,0.6173042668120381,0.4850147373917211,MYCBP2
3,10585857.785532665,-0.9146354691751356,0.448888031686229,-2.0375581539551093,0.0415941405459238,0.1297737185032823,Not significant,0.886813251023191,0.8111108539203236,A2M
4,9960889.570563402,-0.805677159004282,0.4735780589684984,-1.701255249787394,0.0888950671517831,0.1981090067954025,Not significant,0.7030957793194872,0.5664682099900261,CST4
5,16510231.08002467,-0.7459939018622117,0.476095583043118,-1.566899438751252,0.1171381988890429,0.2284194878336338,Not significant,0.6412668465839523,0.47838115701803885,IGKV3-20
6,12368489.04820016,-1.8317082617867797,0.5689372742520953,-3.2195258505336604,0.0012840278307722,0.0100154170800235,Significant,1.9993309603213705,3.6621910380667506,PIGR
7,6240623.827276097,-0.625092267173246,0.333043008896819,-1.8769115413766504,0.0605302187736769,0.1523018407853807,Not significant,0.817294847562828,0.5108846892120606,IGHG1
8,18322302.18097185,-1.065756148142673,0.4098164289077876,-2.600569603768808,0.0093069136798155,0.0403299592792006,Significant,1.3943722164954158,1.4860607625293156,IGHG2
9,17159105.996362053,-1.804136354307996,0.5181861460365008,-3.4816375700266464,0.0004983577151999,0.0056706561040517,Significant,2.2463666896283576,4.052751809865026,IGHA1
10,12483106.403485952,-1.77960362546073,0.514484770820739,-3.4590015611575686,0.0005421817620598,0.0056706561040517,Significant,2.2463666896283576,3.9976423049768433,FGB
11,30568551.14024027,-1.4966799350973543,0.5965196780776877,-2.509020221965644,0.0121066553442956,0.0497010061502662,Significant,1.3036348192931153,1.951124076730271,TF
12,19116811.17871792,-2.51030972618152,0.5291405395428316,-4.744126632879773,2.094078266950664e-06,5.444603494071726e-05,Down-regulated,4.264033742465934,10.70404537647842,LTF
13,33304623.813422363,4.489110007410842,0.4923129717279018,9.118406918377817,7.623668927535861e-20,5.9464617634779725e-18,Up-regulated,17.225741369341666,77.32824796618262,ANXA1
14,12064707.027681349,1.3083792389025557,0.6183074071746328,2.1160659305073164,0.0343392005920211,0.1164546802685934,Not significant,0.9338430526511692,1.221820862482176,KRT6B
15,5570271.649383452,-0.72242596604836,0.3698204468135964,-1.9534505792549923,0.0507662278944153,0.1414202062772998,Not significant,0.8494885336241518,0.6136925745504326,GAPDH
16,22445415.306426287,1.3454884875216748,0.4637909046549084,2.9010669981180603,0.003718943554058,0.0181298498260331,Significant,1.7416057932566835,2.3433105446279217,S100A8
17,123794132.99302895,0.7692888615073477,0.4614858451506658,1.666982572902513,0.0955178701926586,0.2013619966223613,Not significant,0.6960224911536997,0.5354423498031377,S100A9
18,17718724.542492587,-0.6282084878259372,0.3826339836183423,-1.6418000353375377,0.1006314517453966,0.2065592956879194,Not significant,0.6849552559034275,0.43029470553952004,ENO1
19,6094259.784824321,1.069209172158759,0.470161441101571,2.274131986778076,0.0229580520079814,0.085272764601074,Not significant,1.069189656665721,1.1431873876842635,P4HB
20,5027655.918216756,1.1685570184709804,0.4816495901422657,2.4261559490288813,0.0152597114593684,0.0595128746915368,Not significant,1.225389071201876,1.4319369995105882,HSP90AA1
21,8580432.036848132,0.8447550278476844,0.4783674372896572,1.7659124806527644,0.0774105330047904,0.1775888698345191,Not significant,0.7505842565806337,0.6340598245698067,CTSG
22,18916174.745211177,0.8615599594799465,0.4160341056408916,2.070887813759239,0.0383692812553574,0.1247001640799115,Not significant,0.9041329750783677,0.7789647693730019,UBA52
23,15155477.925779156,-1.5829182001264088,0.5153555983631192,-3.071506752141821,0.002129813470323,0.0110750300456798,Significant,1.9556550868967413,3.095642030218645,IGLC3
24,6387443.069719565,0.4699425550374293,0.2933557112679467,1.6019546815919694,0.1091656312274176,0.2183312624548353,Not significant,0.6608840740043815,0.3105775503211646,SCGB1A1
25,4688631.968003564,0.8553124723035093,0.4499481730270054,1.9009133130810032,0.057313368016981,0.1490147568441508,Not significant,0.8267707215297132,0.7071473098597352,EZR
26,11488144.46006162,-1.5843741105027045,0.4489937496911934,-3.5287219735071966,0.0004175715825636,0.0056706561040517,Significant,2.2463666896283576,3.559085225742834,AZU1
27,10111070.088931872,-1.6805812435068734,0.5450485316551835,-3.0833607392782905,0.002046768807584,0.0110750300456798,Significant,1.9556550868967413,3.286637257807468,CFL1
28,17513704.911038492,-1.6081334440113817,0.5079289426998042,-3.1660598733823675,0.0015451898504684,0.0109568007578674,Significant,1.9603162356354025,3.152450099363787,AZGP1
29,9551357.6741915,-1.774119603247568,0.5157248788378707,-3.4400504533451084,0.0005816057542617,0.0056706561040517,Significant,2.2463666896283576,3.9853231801520144,SERPINB3
30,15378545.836525176,2.4772974537751278,0.3850739460426858,6.433303211587617,1.2486021933142834e-10,4.869548553925706e-09,Up-regulated,8.312511299489032,20.592563076701158,SERPINB1
31,4550669.672658993,-0.7114929122752636,0.3992624586598525,-1.7820180606597238,0.0747462865634317,0.1766730409681114,Not significant,0.7528297156433859,0.5356330068304711,PRDX2
